,Numero domanda,Testo domanda,Risposta Corretta,Immagine
0,25364,Gli ammortizzatori di un veicolo a motore servono a ridurre le oscillazioni delle sospensioni,VERO,
1,25365,Gli ammortizzatori collaborano alla tenuta di strada del veicolo,VERO,
2,25366,"Gli ammortizzatori servono, tra l'altro, a garantire la tenuta di strada del veicolo",VERO,
3,25367,Il sovraccarico del veicolo può rendere inefficienti gli ammortizzatori,VERO,
4,25368,Il sovraccarico del veicolo può comportare un'usura precoce degli ammortizzatori,VERO,
5,25369,Gli ammortizzatori di un veicolo a motore non necessitano di verifiche e manutenzioni fino a quando dura la garanzia del veicolo,FALSO,
6,25370,Il sovraccarico non causa problemi agli ammortizzatori di un veicolo a motore se il conducente adotta uno stile di guida prudente,FALSO,
7,25371,"Se il veicolo Ł sovraccarico, per evitare problemi agli ammortizzatori Ł sufficiente aumentare la pressione dei pneumatici di mezzo bar",FALSO,
8,25372,Il conducente può in ogni caso regolare la rigidità degli ammortizzatori,FALSO,
9,25373,"La rigidità degli ammortizzatori di un veicolo a motore può essere controllata dal proprietario del veicolo, senza ricorrere ad un'officina specializzata",FALSO,
